id,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,longitude,latitude
12,Kaiseregg-​Riggisalp-Schwarzsee,Switzerland,1750.0,1050.0,34.0,14.0,5.0,1.0,20.0,Yes,Yes,11.0,3.0,1.0,15.0,5790.0,46.0,9.53,47.17
13,St. Pierre de Chartreuse-Le Planolet,France,1800.0,900.0,21.0,18.0,12.0,5.0,35.0,No,No,3.0,2.0,0.0,5.0,12610.0,35.0,9.53,47.17
14,Buchenberg-Buching-Halblech-,Germany,1140.0,810.0,25.0,2.0,4.0,0.0,6.0,No,No,2.0,1.0,0.0,3.0,2800.0,0.0,9.53,47.17
15,Méribel (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216.0,72.0,600.0,Yes,Yes,62.0,63.0,40.0,165.0,250860.0,2383.0,9.53,47.17
16,​Les Menuires (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216.0,72.0,600.0,Yes,Yes,62.0,63.0,40.0,165.0,250860.0,2383.0,9.53,47.17
17,Les Sybelles-Le Corbier-​La Toussuire-​Les Bottières-​St Colomban des Villards-​St Sorlin-​St Jean d’Arves,France,2620.0,1100.0,44.0,53.0,239.0,18.0,310.0,Yes,Yes,44.0,28.0,0.0,72.0,83807.0,514.0,9.53,47.17
18,Le Grand Massif-Flaine-​Les Carroz-​Morillon-​Samoëns-​Sixt,France,2476.0,694.0,47.0,135.0,95.0,35.0,265.0,Yes,No,34.0,29.0,9.0,72.0,97624.0,1100.0,9.53,47.17
19,Megève-​Saint-Gervais,France,2353.0,850.0,46.0,98.0,134.0,31.0,263.0,Yes,Yes,50.0,27.0,9.0,86.0,106362.0,888.0,9.53,47.17
20,Laax-​Flims-​Falera,Switzerland,3018.0,1100.0,68.0,88.0,81.0,19.0,188.0,Yes,No,13.0,9.0,11.0,33.0,46116.0,300.0,9.53,47.17
21,Vars-​Risoul-La Forêt Blanche,France,2750.0,1650.0,39.0,75.0,90.0,20.0,185.0,Yes,Yes,32.0,17.0,2.0,51.0,50145.0,0.0,9.53,47.17
22,Kicking Horse,France,1608.0,1500.0,39.0,56.0,93.0,30.0,180.0,Yes,No,21.0,13.0,4.0,38.0,40680.0,281.0,9.53,47.17
23,Le Grand Domaine-Valmorel-​Doucy-​Celliers-​St François Longchamp,France,2550.0,1250.0,44.0,115.0,35.0,15.0,165.0,Yes,No,36.0,17.0,3.0,56.0,60248.0,332.0,9.53,47.17
24,Galibier Thabor-Valmeinier-​Valloire,France,2594.0,1430.0,39.0,75.0,60.0,15.0,150.0,Yes,Yes,12.0,17.0,2.0,31.0,43300.0,400.0,9.53,47.17
25,Zillertal Arena-Zell am Ziller-​Gerlos-​Königsleiten-​Hochkrimml,Austria,2500.0,580.0,52.0,43.0,89.0,11.0,143.0,Yes,No,22.0,21.0,13.0,56.0,89415.0,792.0,9.53,47.17
26,La Molina-​Masella-Alp2500,Spain,2531.0,1616.0,45.0,76.0,47.0,18.0,141.0,Yes,Yes,19.0,13.0,1.0,33.0,39750.0,1010.0,9.53,47.17
27,Auron-Saint-Etienne-de-Tinée-,France,1600.0,1150.0,34.0,60.0,45.0,30.0,135.0,Yes,No,7.0,9.0,3.0,19.0,25030.0,440.0,9.53,47.17
28,Alta Badia,Italy,2550.0,1324.0,52.0,70.0,52.0,8.0,130.0,Yes,No,18.0,30.0,11.0,59.0,89327.0,391.0,9.53,47.17
29,La Clusaz-​Manigod,France,2477.0,1040.0,37.0,62.0,40.0,23.0,125.0,Yes,Yes,28.0,14.0,7.0,49.0,59346.0,223.0,9.53,47.17
30,Espace Villard Corrençon-Villard-de-Lans-​Corrençon-en-Vercors,France,2050.0,1050.0,36.0,50.0,50.0,25.0,125.0,Yes,No,18.0,7.0,3.0,28.0,26600.0,339.0,9.53,47.17
31,Val Cenis-Lanslevillard-​Lanslebourg-​Termignon,France,2800.0,1300.0,36.0,73.0,42.0,10.0,125.0,Yes,Yes,13.0,13.0,2.0,28.0,39824.0,200.0,9.53,47.17
32,Isola 2000,France,2603.0,1800.0,34.0,75.0,35.0,10.0,120.0,Yes,Yes,12.0,7.0,3.0,22.0,21807.0,430.0,9.53,47.17
33,Obersaxen-​Mundaun-​Val Lumnezia,Switzerland,2310.0,1201.0,51.0,60.0,40.0,20.0,120.0,Yes,Yes,10.0,9.0,0.0,19.0,20720.0,297.0,9.53,47.17
34,Les 7 Laux-Prapoutel-​Le Pleynet-​Pipay,France,2400.0,1350.0,36.0,46.0,36.0,38.0,120.0,Yes,No,15.0,8.0,1.0,24.0,32232.0,200.0,9.53,47.17
35,Corvatsch-​Furtschellas,Switzerland,3303.0,1797.0,69.0,13.0,89.0,17.0,120.0,Yes,Yes,5.0,6.0,3.0,14.0,18510.0,0.0,9.53,47.17
36,Nassfeld-Hermagor,Austria,2002.0,600.0,46.0,30.0,69.0,11.0,110.0,Yes,Yes,16.0,9.0,5.0,30.0,49386.0,483.0,9.53,47.17
37,Mondolè Ski-Artesina-​Frabosa Soprana-​Prato Nevoso,Italy,807.0,803.0,33.0,42.0,51.0,11.0,105.0,Yes,Yes,19.0,14.0,0.0,33.0,26068.0,0.0,9.53,47.17
38,Aletsch Arena-Riederalp-​Bettmeralp-​Fiesch Eggishorn,Switzerland,1845.0,759.0,53.0,42.0,50.0,12.0,104.0,Yes,Yes,18.0,8.0,12.0,38.0,41109.0,258.0,9.53,47.17
39,Bad Kleinkirchheim-​St. Oswald,Austria,2055.0,1087.0,47.0,18.0,77.0,8.0,103.0,Yes,Yes,17.0,7.0,4.0,28.0,31186.0,800.0,9.53,47.17
40,Bardonecchia,Italy,2694.0,1312.0,36.0,54.0,38.0,8.0,100.0,Yes,No,13.0,9.0,1.0,23.0,27588.0,0.0,9.53,47.17
41,Saint-Lary-Soulan,France,1600.0,812.0,42.0,60.0,30.0,10.0,100.0,Yes,Yes,17.0,11.0,3.0,31.0,38733.0,290.0,9.53,47.17
42,Orcières Merlette 1850,France,2725.0,1850.0,34.0,55.0,38.0,7.0,100.0,Yes,No,20.0,7.0,3.0,30.0,29605.0,0.0,9.53,47.17
43,Dévoluy-Superdévoluy-​La Joue du Loup,France,2450.0,1450.0,36.0,60.0,30.0,10.0,100.0,Yes,No,18.0,5.0,1.0,24.0,27646.0,180.0,9.53,47.17
